uuid,date,name,departure,arrival,ticket_price
L8YTEN6BCYX49JNU,2013-09-06,Suk Clemente,RAB,XWM,99
EFXQZSR6HQD2MN95,2019-01-25,Syble Wickham,BWA,JWL,2
HT4QAY07Y6Q9B6LV,1999-11-11,Doretha Talbert,ROO,CML,43
ADQJXJSQ0MBRTALK,1970-07-15,Sherlene Sears,YGS,MXE,88
X100E8LS5GT8GRPV,1973-09-09,Laure Callaghan,MFM,RUV,36
4594UEVJRNGZXAOK,1987-01-23,Elisha Forrest,YBI,IFJ,38
OPI5S3KV33Z522PQ,1984-01-05,Hal Barbour,BYQ,TWB,57
J6T8CM8QN79B2TAL,1979-11-02,Marcelo Bonds,CEL,WIT,13
HMY9EJNO30GB7RTQ,1992-04-11,Dina Mcarthur,LIW,IOU,61
35YNXPRYJRKT35I5,2018-08-06,Leatrice Masters,PSM,RBF,40
KIGIT4RTID9O450P,1982-10-17,Roselle Sauer,OBK,GIL,68
OPJOP8HFBBVVUIG8,1984-11-03,Georgianne Barrows,FLX,XXS,1
Q7QBD60F7QCDQSRN,2012-08-10,Brendan Galindo,XYE,QQB,42
ZMXV2ZFM3ZCBXX19,2015-10-22,Un Blevins,GUD,FIH,36
XKH10MBUJRBAYOOQ,2009-09-14,Daren Barrett,VDC,TUC,1
4K7ZAI9KITJ1RB1V,2021-07-30,Maegan Albritton,WOW,RUV,64
FP6Z25VJIOJ1CPJR,1970-01-07,Maryanna Woodward,BBP,BRL,29
4LEC616BV7ZU3QGS,2007-02-14,Michaele Mcgill,OUK,EUN,30
MHL4XEFNCOH63VDE,2006-02-26,Aja Batista,CPV,UND,30
SI712U8JC87D6J3L,1996-10-06,Sylvie Clegg,ZUE,VNY,81
J3HGLBXISVCQS2PQ,1985-09-16,Douglas Atherton,PNP,LFR,1
L6AC85UGBLHBYOPX,2016-05-15,Princess Parham,UAI,IQM,36
O1IBMD9UGN157JMO,1987-10-05,Milan Arias,MSP,DLB,4
